"text","narrator","source","grade"
"لا تعجِزوا في الدُّعاءِ فإنَّه لنْ يهلِكَ مع الدُّعاءِ أحَدٌ.","أنس بن مالك","صحيح ابن حبان","أخرجه في صحيحه"
"لا تَعجِزوا في الدُّعاءِ ؛ فإنَّه لا يَهلِكُ مع الدُّعاءِ أَحدٌ.","أنس بن مالك","المستدرك على الصحيحين","صحيح الإسناد"
"[إنَّ مِمَّا يُستَجابُ به عِندَ الدُّعاءِ العُطاسَ] وفي رِوايةٍ [مِن سَعادةِ المَرءِ العُطاسُ عِندَ الدُّعاءِ ].","أبو رهم السمعي","الفوائد المجموعة","[فيه] أبو رهم تابعي، والسند إليه غير صحيح"
"الدعاءُ يردُّ القضاءَ [يعني حديث: إنَّ الدُّعاءَ يرُدُّ القَضاءَ، وإنَّ البِرَّ يَزيدُ في الرِّزقِ، وإنَّ العَبدَ لَيُحرَمُ الرِّزقَ بالذَّنبِ يُصيبُه.].","ثوبان مولى رسول الله صلى الله عليه وسلم","النوافح العطرة","صحيح"
"أفضلُ العبادةِ الدعاءُ.","أبو هريرة والنعمان بن بشير","الجامع الصغير","صحيح"
"أَكْثِرِ الدعاءَ بالعافيةَ.","عبدالله بن عباس","الجامع الصغير","صحيح"
"أفضلُ العبادةِ الدعاءُ.","عبدالله بن عباس وأبو الدرداء وأبو هريرة","صحيح الجامع","صحيح"
"إِنَّ الدعاءَ هو العِبادَةُ.","النعمان بن بشير","صحيح الأدب المفرد","صحيح"
"إذا دعَا أحدُكُم فليَعزِمْ في الدُّعاءِ ، و لا يقُلْ : و في رِوايةٍ : إذا دعَوتُم اللهَ فاعزِمُوا في الدُّعاءِ و لا يقولَنَّ أحدُكُم : اللهُمَّ إن شِئتَ فأعطِني ، فإنَّ اللهَ لا مُستكرِهَ لهُ.","أنس بن مالك","صحيح الأدب المفرد","صحيح"
"سألتُ الحسنَ بنَ عليٍّ: علامَ تذكرُ مِن رسولِ اللَّهِ صلَّى اللَّهُ عليهِ وسلَّمَ؟ فقالَ: كانَ يعلِّمُنا هذا الدُّعاءَ : اللَّهمَّ اهدِني فيمَن هدَيتَ، بمثلِ حديثِ وَكيعٍ في الدُّعاءِ ، ولَم يذكُرِ القنوتَ، ولا الوِترَ.","الحسن بن علي","صحيح ابن خزيمة","أخرجه في صحيحه"
"الدُّعاءُ مُستَجابٌ ما بيْنَ النِّداءِ.","أنس بن مالك","المستدرك على الصحيحين","[سكت عنه وقال في المقدمة رواته ثقات احتج بمثله الشيخان أو أحدهما]"
"سيكونُ قومٌ يَعتَدُونُ في الدعاءِ.","سعد بن أبي وقاص","الجامع الصغير","صحيح"
"أفضلُ الدعاءِ دعاءُ المرءِ لنفسِهِ.","عائشة أم المؤمنين","الجامع الصغير","صحيح"
"أنَّهما أي الدَّعاءُ والقَدرُ يحتجَّانِ.","-","الفتح الرباني","صحيح"
"أنَّهُ-أي الدُّعاءَ يردُّ القضاءَ.","-","الفتح الرباني","صحيح"
"أفضلُ الدُّعاءِ دعاءُ يومِ عرَفةَ.","طلحة بن عبيدالله","السلسلة الصحيحة","إسناده مرسل صحيح"
"يا عمِّ أكثرِ الدعاءَ بالعافيةِ.","عبدالله بن عباس","السلسلة الصحيحة","حسن"
"لا يرُدُّ القدرَ إلا الدعاءُ.","-","شرح العقيدة السفارينية","صحيح"
"حديثُ: الدُّعاءِ بَينَ الأذانِ والإقامةِ.","-","لقاء الباب المفتوح","صحيح"
"الدعاءُ لا يُردُّ بين الأذانِ والإقامةِ.","أنس بن مالك","سنن الترمذي","حسن صحيح"
"الدُّعاءُ بَيْنَ الأذانِ والإقامةِ يُستجابُ فادعوا.","أنس بن مالك","صحيح ابن حبان","أخرجه في صحيحه"
"في الأمرِ بطَلَبِ الدُّعاءِ مِنَ المريضِ.","عمر بن الخطاب","تهذيب التهذيب","صحيح أو حسن"
"ثمَّ لِيتخيَّرْ من الدعاءِ أعجبَه إليهِ.","عبدالله بن مسعود","مجموع الفتاوى","صحيح"
"الدُّعاءُ بَينَ الأذانِ والإقامةِ مُستَجابٌ فادعوا.","-","مجموع الشروح الفقهية.","صحيح"
"الدُّعاءُ مُستجابٌ بين النِّداءِ و الإقامةِ.","أنس بن مالك","صحيح الجامع","حسن"
